"PeriodeDeReference","Geo","Dguid","Infractions","Statistiques","UniteDeMesure","IdentificationDUniteDeMesure","FacteurScalaire","IdentificateurScalaire","Vecteur","Coordonnees","Valeur","Status","Symbole","Termine","Decimales"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44362557","3.80.5","494","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44326875","3.80.6","48","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44353931","3.80.7","431","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44325881","3.80.8","0.00","","","","2"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44328887","3.80.9","399","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44378945","3.80.10","0.00","","","","2"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44368389","3.80.11","32","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44328421","3.80.12","0.00","","","","2"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53082325","3.80.13","2","","","","0"
"1998","St. John's, Terre-Neuve-et-Labrador [10001]","2011S05031","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53082326","3.80.14","0.00","","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44393460","4.80.1","494","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44355654","4.80.2","363.72","","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44412942","4.80.3","","..","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44348993","4.80.4","276","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44397842","4.80.5","176","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44360754","4.80.6","100","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44350557","4.80.7","99","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44384248","4.80.8","87.02","","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44335442","4.80.9","88","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44389670","4.80.10","86.67","","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44382966","4.80.11","11","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44397393","4.80.12","89.90","","","","2"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53080856","4.80.13","0","","","","0"
"1998","Île-du-Prince-Édouard [11]","2016A000211","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53080857","4.80.14","0.00","","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44362545","5.80.1","3413","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44401071","5.80.2","366.24","","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44352531","5.80.3","","..","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44385865","5.80.4","1895","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44339011","5.80.5","1389","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44356463","5.80.6","506","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44385303","5.80.7","1002","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44406502","5.80.8","126.34","","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44335730","5.80.9","946","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44349153","5.80.10","131.78","","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44328087","5.80.11","56","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44360877","5.80.12","74.45","","","","2"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53083034","5.80.13","11","","","","0"
"1998","Nouvelle-Écosse [12]","2016A000212","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53083035","5.80.14","14.62","","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44332035","6.80.1","1452","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44374497","6.80.2","425.52","","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44391664","6.80.3","","..","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44328979","6.80.4","766","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44385762","6.80.5","675","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44411960","6.80.6","91","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44345748","6.80.7","496","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44392594","6.80.8","0.00","","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44344064","6.80.9","474","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44338078","6.80.10","0.00","","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44404972","6.80.11","22","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44334749","6.80.12","0.00","","","","2"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53081785","6.80.13","6","","","","0"
"1998","Halifax, Nouvelle-Écosse [12205]","2011S0503205","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53081786","6.80.14","0.00","","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44344100","7.80.1","2874","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44417976","7.80.2","382.92","","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44347054","7.80.3","","..","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44399762","7.80.4","1701","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44332794","7.80.5","1166","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44369234","7.80.6","535","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44391147","7.80.7","905","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44332476","7.80.8","141.11","","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44372762","7.80.9","867","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44410046","7.80.10","149.66","","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44335210","7.80.11","38","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44380071","7.80.12","61.25","","","","2"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53081807","7.80.13","21","","","","0"
"1998","Nouveau-Brunswick [13]","2016A000213","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53081808","7.80.14","33.85","","","","2"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44356266","8.80.1","690","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44331154","8.80.2","553.36","","","","2"
